*	question	answer
	accettare	accept
	permettere	allow
	chiedere, domandare	ask
	credere	believe
	prestito	borrow
	rompere	break
	portare	bring
	comprare	buy
	potere	can, be able
	cancellare	cancel
	cambiare	change
	pulire	clean
	pettinare	comb
	lamentarsi	complain
	tossire	cough
	contare	count
	tagliare	cut
	ballare	dance
	disegnare	draw
	bere	drink
	guidare	drive
	mangiare	eat
	spiegare	explain
	cadere	fall
	rempire	fill
	trovare	find
	finire	finish
	in forma	fit
	aggiustare	fix
	volare	fly
	dimenticare	forget
	dare	give
	andare	go
	avere	have
	sentire	hear
	male	hurt
	sapere, conoscere	know
	imparare	learn
	partire, andarsene	leave
	ascoltare	listen
	vivere	live
	guardare	look
	perdere	lose
	fare	make, do
	bisogno	need
	aprire	open
	chiudere	close, shut
	organizzare	organize
	pagare	pay
	giocare	play
	mettere	put
	piovere	rain
	leggere	read
	rispondere	reply
	correre	run
	dire	say
	vedere	see
	vendere	sell
	spedire	send
	firmare	sign
	cantare	sing
	sedersi	sit
	dormire	sleep
	fumare	smoke
	parlare	speak
	sillabare	spell
	spendere	spend
	alzarsi	stand
	cominciare	start, begin
	studiare	study
	riuscire	succeed
	nuotare	swim
	prendere	take
	parlare	talk
	insegnare	teach
	dire	tell
	pensare	think
	tradurre	translate
	viaggiare	travel
	provare	try
	spegnere	turn off
	accendere	turn on
	genere	type
	capire	understand
	usare	use
	aspettare	wait
	svegliarsi	wake up
	volere, desiderare	want
	guardare	watch
	lavorare	work
	preoccuparsi	worry
	scrivere	write
	cane, cagna	dog
	foot	piede
	cibo	food
	fiore	flower
	bagno	bathroom
	ciao	hello
	avanti	come on, enter
	gatto, gatta	cat
